Property Name,Address,Area,Rental price,Property Type,Carpet area(sq ft),Contact,Maps link,url
WareHouse for Lease,"in Ramamurthy Nagar, Bangalore",N/A,N/A,N/A,N/A,N/A,https://www.google.com/maps/search/?api=1&query=in%2520Ramamurthy%2520Nagar%252C%2520Bangalore,https://www.99acres.com/warehouse-for-rent-lease-in-ramamurthy-nagar-bangalore-east-5050-sq-ft-spid-T80573659
Bare Shell Office Space,"in Amruthahalli, Near Hebbal, Bangalore",1250,₹70000/Month,Commercial,N/A,N/A,https://www.google.com/maps/search/?api=1&query=in%2520Amruthahalli%252C%2520Near%2520Hebbal%252C%2520Bangalore,https://www.99acres.com/bare-shell-office-space-for-rent-lease-in-amruthahalli-bangalore-north-1250-sq-ft-spid-B80519951
WareHouse for Lease,"in Anugondahalli, Whitefield, Bangalore",N/A,N/A,N/A,N/A,N/A,https://www.google.com/maps/search/?api=1&query=in%2520Anugondahalli%252C%2520Whitefield%252C%2520Bangalore,https://www.99acres.com/warehouse-for-rent-lease-in-anugondahalli-bangalore-east-34848-sq-ft-spid-C83500332
Bare Shell Office Space,"in Arekere MICO Layout, Bannerghatta Road, Bangalore",1600,₹65000/Month,Residential,N/A,N/A,https://www.google.com/maps/search/?api=1&query=in%2520Arekere%2520MICO%2520Layout%252C%2520Bannerghatta%2520Road%252C%2520Bangalore,https://www.99acres.com/bare-shell-office-space-for-rent-lease-in-arekere-mico-layout-bannerghatta-road-bangalore-south-1600-sq-ft-spid-K83038568
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.99acres.com/sankhyana-consultancy-services-pvt-ltd-hsr-layout-bangalore-south-coworking-space-for-rent-cwspid-C82660274
WareHouse for Lease,"in Sadaramangala Industrial Area, Kadugodi",N/A,N/A,N/A,N/A,N/A,https://www.google.com/maps/search/?api=1&query=in%2520Sadaramangala%2520Industrial%2520Area%252C%2520Kadugodi,https://www.99acres.com/warehouse-for-rent-lease-in-sadaramangala-industrial-area-bangalore-east-8000-sq-ft-spid-I82604664
Bare Shell Office Space,"in Kalyan Nagar, 1st Block HRBR Layout, Kalyan nagar, Bangalore",3400,₹238000/Month,Commercial,3000,N/A,https://www.google.com/maps/search/?api=1&query=in%2520Kalyan%2520Nagar%252C%25201st%2520Block%2520HRBR%2520Layout%252C%2520Kalyan%2520nagar%252C%2520Bangalore,https://www.99acres.com/bare-shell-office-space-for-rent-lease-in-1st-block-hrbr-layout-bangalore-east-3400-sq-ft-r1-spid-R81106749
Bare Shell Office Space,"in Peenya Industrial Area Phase 2, Tumkur Road",4000,₹150000/Month,Industrial,3500,N/A,https://www.google.com/maps/search/?api=1&query=in%2520Peenya%2520Industrial%2520Area%2520Phase%25202%252C%2520Tumkur%2520Road,https://www.99acres.com/bare-shell-office-space-for-rent-lease-in-peenya-industrial-area-phase-2-bangalore-west-4000-sq-ft-r1-spid-G80363071
Bare Shell Office Space,"in Eshanya, Koramangala, Bangalore",2271,₹225000/Month,Commercial,N/A,N/A,https://www.google.com/maps/search/?api=1&query=in%2520Eshanya%252C%2520Koramangala%252C%2520Bangalore,https://www.99acres.com/bare-shell-office-space-for-rent-lease-in-koramangala-bangalore-south-2271-sq-ft-spid-U82307140
WareHouse for Lease,"in Old Madras Road, Bangalore",N/A,N/A,N/A,N/A,N/A,https://www.google.com/maps/search/?api=1&query=in%2520Old%2520Madras%2520Road%252C%2520Bangalore,https://www.99acres.com/warehouse-for-rent-lease-in-old-madras-road-bangalore-east-60000-sq-ft-spid-U82682760
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.99acres.com/flexiwork-bangalore-singasandra-bangalore-south-coworking-space-for-rent-cwspid-Z80339823
Ready to move Office Space,"in El-bethel commercial building , Varthur, Bangalore",N/A,₹200000/Month,Commercial,2000,N/A,https://www.google.com/maps/search/?api=1&query=in%2520El-bethel%2520commercial%2520building%2520%252C%2520Varthur%252C%2520Bangalore,https://www.99acres.com/ready-to-move-office-space-for-rent-lease-in-varthur-bangalore-east-2000-sq-ft-spid-O81423667
Bare Shell Office Space,"in Yelachenahalli, Kanakapura Road",7600,₹425000/Month,Industrial,N/A,N/A,https://www.google.com/maps/search/?api=1&query=in%2520Yelachenahalli%252C%2520Kanakapura%2520Road,https://www.99acres.com/bare-shell-office-space-for-rent-lease-in-yelachenahalli-bangalore-south-7600-sq-ft-spid-O83494186
WareHouse for Lease,"in Nearby kattigenahalli, Mittaganahalli, Near Bagalur, Bangalore",N/A,N/A,N/A,N/A,N/A,https://www.google.com/maps/search/?api=1&query=in%2520Nearby%2520kattigenahalli%252C%2520Mittaganahalli%252C%2520Near%2520Bagalur%252C%2520Bangalore,https://www.99acres.com/warehouse-for-rent-lease-in-mittaganahalli-bangalore-north-4000-sq-ft-r2-spid-J80504323
Ready to move Office Space,"in Malleshpalya, Kaggadasapura",N/A,₹160000/Month,Commercial,2000,N/A,https://www.google.com/maps/search/?api=1&query=in%2520Malleshpalya%252C%2520Kaggadasapura,https://www.99acres.com/ready-to-move-office-space-for-rent-lease-in-malleshpalya-bangalore-east-2000-sq-ft-spid-T82285162
Manufacturing for Lease,"in Electronic City Phase 2, Bangalore",N/A,N/A,N/A,N/A,N/A,https://www.google.com/maps/search/?api=1&query=in%2520Electronic%2520City%2520Phase%25202%252C%2520Bangalore,https://www.99acres.com/manufacturing-unit-space-for-rent-lease-in-electronic-city-phase-2-bangalore-south-3500-sq-ft-spid-O82861070
